trial,size_fraction,frames_fraction,window_size,window_step_size,num_frames,size_x,size_y,num_windows_x,num_windows_y,total_time,generate_rgb_time,window_ttcf_time,extract_embedding_time,process_windows_time,create_model_time,create_windows_time,img_stk_nbytes,low_res_feature_map_nbytes,window_ttcf_nbytes,total_except_img_stk_size,total_size
6,0.8,0.6,65,10,31,1509,1509,145,31,306.1990878582001,62.49484157562256,1.1920928955078125e-05,215.03010249137878,28.125426054000854,0.16017675399780273,0.0698540210723877,0.282358044,0.1184128,0.1616402,0.280053,0.562411044
6,0.8,0.6,35,10,31,1509,1509,148,31,271.4637563228607,74.63677477836609,1.4781951904296875e-05,175.06278014183044,21.22761344909668,0.1512744426727295,0.07163071632385254,0.282358044,0.123363328,0.168397952,0.29176128,0.574119324
6,0.8,0.6,95,10,31,1509,1509,142,31,243.8513970375061,55.645411252975464,1.1205673217773438e-05,149.53944897651672,38.03216338157654,0.15765953063964844,0.07663226127624512,0.282358044,0.113563648,0.155020832,0.26858448,0.550942524
6,0.8,0.6,125,10,31,1509,1509,139,31,247.24779272079468,53.06194353103638,1.1920928955078125e-05,143.24775004386902,50.38855218887329,0.15285229682922363,0.07221388816833496,0.282358044,0.108815872,0.148539848,0.25735572,0.539713764
6,0.8,0.9,65,10,47,1509,1509,145,47,280.9414942264557,64.86654591560364,1.1205673217773438e-05,160.880197763443,54.630879163742065,0.1477527618408203,0.11024022102355957,0.428091228,0.1184128,0.3715538,0.4899666,0.918057828
6,0.8,0.9,35,10,47,1509,1509,148,47,264.68194818496704,69.39682292938232,1.239776611328125e-05,148.86484551429749,45.728031396865845,0.22313666343688965,0.12072181701660156,0.428091228,0.123363328,0.387087488,0.510450816,0.938542044
6,0.8,0.9,95,10,47,1509,1509,142,47,271.4070191383362,58.33807826042175,1.049041748046875e-05,145.01979517936707,67.30536818504333,0.22800016403198242,0.12111711502075195,0.428091228,0.113563648,0.356338208,0.469901856,0.897993084
6,0.8,0.9,125,10,47,1509,1509,139,47,398.1355721950531,62.42436909675598,9.059906005859375e-06,212.07835030555725,123.05134797096252,0.15881848335266113,0.10882258415222168,0.428091228,0.108815872,0.341440712,0.450256584,0.878347812
6,0.8,0.2,65,10,10,1509,1509,145,10,254.4923141002655,68.60008907318115,1.3828277587890625e-05,170.69631552696228,14.510605096817017,0.19334959983825684,0.040451765060424805,0.09108324,0.1184128,0.01682,0.1352328,0.22631604
6,0.8,0.2,35,10,10,1509,1509,148,10,271.9401843547821,83.19965767860413,1.3589859008789062e-05,174.15073585510254,13.838658571243286,0.23939847946166992,0.030617237091064453,0.09108324,0.123363328,0.0175232,0.140886528,0.231969768
6,0.8,0.2,95,10,10,1509,1509,142,10,267.3474690914154,67.42527532577515,1.811981201171875e-05,186.61469531059265,12.503819942474365,0.20923256874084473,0.02370619773864746,0.09108324,0.113563648,0.0161312,0.129694848,0.220778088
6,0.8,0.2,125,10,10,1509,1509,139,10,286.6776850223541,57.94063639640808,1.33514404296875e-05,209.76742339134216,18.348848819732666,0.23910808563232422,0.03626728057861328,0.09108324,0.108815872,0.0154568,0.124272672,0.215355912
6,0.8,0.4,65,10,21,1509,1509,145,21,229.5741171836853,59.187567472457886,1.33514404296875e-05,153.03074407577515,16.725215673446655,0.22174787521362305,0.05336427688598633,0.191274804,0.1184128,0.0741762,0.192589,0.383863804
6,0.8,0.4,35,10,21,1509,1509,148,21,262.4523706436157,82.3659279346466,1.6689300537109375e-05,165.97660160064697,13.559184312820435,0.14960789680480957,0.04875636100769043,0.191274804,0.123363328,0.077277312,0.20064064,0.391915444
6,0.8,0.4,95,10,21,1509,1509,142,21,244.08514618873596,61.369887828826904,1.430511474609375e-05,157.7634015083313,24.375600337982178,0.15530681610107422,0.048032522201538086,0.191274804,0.113563648,0.071138592,0.18470224,0.375977044
6,0.8,0.4,125,10,21,1509,1509,139,21,244.38136744499207,56.15282368659973,1.239776611328125e-05,156.84356784820557,30.701844215393066,0.1808171272277832,0.06287455558776855,0.191274804,0.108815872,0.068164488,0.17698036,0.368255164
6,0.8,1.0,65,10,53,1509,1509,145,53,279.1682982444763,60.702529430389404,1.3589859008789062e-05,153.53574538230896,64.1440634727478,0.23386764526367188,0.14328551292419434,0.482741172,0.1184128,0.4724738,0.5908866,1.073627772
6,0.8,1.0,35,10,53,1509,1509,148,53,265.34391832351685,68.965585231781,1.4066696166992188e-05,155.5491383075714,40.251386880874634,0.14857792854309082,0.11890816688537598,0.482741172,0.123363328,0.492226688,0.615590016,1.098331188
6,0.8,1.0,95,10,53,1509,1509,142,53,315.0787899494171,63.56693959236145,1.1920928955078125e-05,152.89786529541016,97.82435703277588,0.1851339340209961,0.15037083625793457,0.482741172,0.113563648,0.453125408,0.566689056,1.049430228
6,0.8,1.0,125,10,53,1509,1509,139,53,316.8362374305725,50.77328586578369,1.1920928955078125e-05,139.61454820632935,125.69579672813416,0.2196354866027832,0.13559675216674805,0.482741172,0.108815872,0.434181512,0.542997384,1.025738556
6,0.8,0.8,65,10,42,1509,1509,145,42,251.34960746765137,57.784499406814575,8.821487426757812e-06,151.4209623336792,41.3420147895813,0.23388290405273438,0.11018610000610352,0.382549608,0.1184128,0.2967048,0.4151176,0.797667208
6,0.8,0.8,35,10,42,1509,1509,148,42,261.8732445240021,71.92370963096619,1.430511474609375e-05,160.58380699157715,28.831692457199097,0.14559721946716309,0.09531831741333008,0.382549608,0.123363328,0.309109248,0.432472576,0.815022184
6,0.8,0.8,95,10,42,1509,1509,142,42,256.58904790878296,54.59062910079956,8.106231689453125e-06,146.6933138370514,54.57601833343506,0.2227461338043213,0.10648322105407715,0.382549608,0.113563648,0.284554368,0.398118016,0.780667624
6,0.8,0.8,125,10,42,1509,1509,139,42,290.11283826828003,51.47287178039551,1.239776611328125e-05,160.59847855567932,77.29026675224304,0.22687911987304688,0.10735106468200684,0.382549608,0.108815872,0.272657952,0.381473824,0.764023432
6,0.8,0.7,65,10,37,1509,1509,145,37,266.58543491363525,57.19300961494446,1.2636184692382812e-05,174.43766117095947,34.240668535232544,0.1612870693206787,0.0881352424621582,0.337007988,0.1184128,0.2302658,0.3486786,0.685686588
6,0.8,0.7,35,10,37,1509,1509,148,37,241.24727129936218,68.89988398551941,1.0967254638671875e-05,147.13797187805176,24.508734703063965,0.22544050216674805,0.09313678741455078,0.337007988,0.123363328,0.239892608,0.363255936,0.700263924
6,0.8,0.7,95,10,37,1509,1509,142,37,320.5025143623352,56.42219352722168,9.5367431640625e-06,208.09901404380798,55.37200212478638,0.16724872589111328,0.08707356452941895,0.337007988,0.113563648,0.220836128,0.334399776,0.671407764
6,0.8,0.7,125,10,37,1509,1509,139,37,271.4657938480377,56.57796931266785,1.4066696166992188e-05,147.058908700943,67.28126573562622,0.14874505996704102,0.08508992195129395,0.337007988,0.108815872,0.211603592,0.320419464,0.657427452
6,0.8,0.5,65,10,26,1509,1509,145,26,256.2390549182892,65.04777455329895,1.0728836059570312e-05,169.10525560379028,21.556952714920044,0.1495816707611084,0.05968809127807617,0.236816424,0.1184128,0.1137032,0.232116,0.468932424
