x,y,yerr
177,1.0410944620768229e-05,4.320543721066605e-07
180,1.3510386149088541e-05,7.520818480692114e-07
183,1.1603037516276041e-05,1.6330120306462627e-07
186,1.0967254638671875e-05,2.9736021254650305e-07
