x,y,yerr
5,65.0,0.0
10,65.0,0.0
15,65.0,0.0
21,65.0,0.0
26,65.0,0.0
31,65.0,0.0
37,65.0,0.0
42,65.0,0.0
47,65.0,0.0
53,65.0,0.0
