x,y,yerr
377,1.2715657552083334e-05,7.147649957461908e-07
754,1.1364618937174479e-05,3.2009140580480837e-07
1132,1.3271967569986979e-05,5.284928571716947e-07
1509,1.1682510375976562e-05,5.068017766133678e-07
1887,1.2079874674479166e-05,1.0708376000408456e-06
